Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"3-Phase DIN-Rail Energy Meter Mount","","Form-fitting cradle for the 3-Phase DIN-Rail Energy Meter that holds the sensing surface in its rated orientation. Snap-fit retention so it can be removed for calibration without tools.","mechanical","3d_printed",1,2.00,2.00,""
"DIN-Rail Ethernet Switch Mount","","Adapter plate for the DIN-Rail Ethernet Switch that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"AC Input Protective MCB/RCD","ABB DS201 C16 AC30 RCBO","Combined 16A Miniature Circuit Breaker and 30mA Type A Residual Current Device for mains input protection.","electrical","power",1,45.00,45.00,"https://www.amazon.de/s?k=ABB+DS201+C16+A30"
"24V DIN-Rail Power Supply","Mean Well HDR-100-24","High efficiency 24V DC DIN-rail power supply providing up to 100W.","electrical","power",1,35.00,35.00,"https://www.amazon.de/s?k=Mean+Well+HDR-100-24"
"24V to 12V DC-DC Converter","Mean Well DDR-60G-12","DIN-rail DC-DC converter converting 24V battery/UPS power to stable 12V for the mini-PC.","electrical","power",1,32.00,32.00,"https://www.amazon.de/s?k=Mean+Well+DDR-60G-12"
"DIN-Rail Fused Terminal Block","Phoenix Contact UT 4-HESI","4A fused terminal block for DC branch circuit protection.","electrical","power",1,6.00,6.00,"https://www.amazon.de/s?k=UT+4-HESI"
"PE Grounding Terminal Block","Phoenix Contact USLKG 5","DIN-rail grounding terminal block to bond metal enclosure elements.","electrical","structural",1,5.00,5.00,"https://www.amazon.de/s?k=USLKG+5"
"IP54 Ventilation Louvers with Filters","Plannone Filter Fan Louver IP54","Passive high and low airflow ventilation grilles with dust filters.","mechanical","misc",2,15.00,30.00,"https://www.amazon.de/s?k=IP54+ventilation+filter+louver"
"24V DIN-Rail UPS Module","Mean Well DR-UPS40","24V 40A DIN-rail DC UPS module for battery backup management.","electrical","power",1,42.00,42.00,"https://www.digikey.com/en/products/detail/mean-well-usa-inc/DR-UPS40/770747"
"24V LiFePO4 Battery Pack","LiTime 24V 10Ah LiFePO4","Long-life 10-year service life Lithium Iron Phosphate battery pack with integrated BMS.","electrical","power",1,99.00,99.00,"https://www.amazon.com/s?k=24v+lifepo4+battery+10ah"
"Shelly Pro 1PM Switch 1","Shelly Pro 1PM","Single-phase DIN-rail smart switch with power metering controlled over LAN.","electrical","actuator",1,39.00,39.00,"https://www.amazon.com/s?k=Shelly+Pro+1PM"
"Shelly Pro 1PM Switch 2","Shelly Pro 1PM","Single-phase DIN-rail smart switch with power metering controlled over LAN.","electrical","actuator",1,39.00,39.00,"https://www.amazon.com/s?k=Shelly+Pro+1PM"
"Shelly Pro 1PM Switch 3","Shelly Pro 1PM","Single-phase DIN-rail smart switch with power metering controlled over LAN.","electrical","actuator",1,39.00,39.00,"https://www.amazon.com/s?k=Shelly+Pro+1PM"
"Shelly Pro 1PM Switch 4","Shelly Pro 1PM","Single-phase DIN-rail smart switch with power metering controlled over LAN.","electrical","actuator",1,39.00,39.00,"https://www.amazon.com/s?k=Shelly+Pro+1PM"
"8-Port DIN-Rail Ethernet Switch","Phoenix Contact FL SWITCH SFN 8TX - 2891929","8-port industrial Ethernet switch for DIN rail mounting, replacing the 5-port model to connect all system devices.","electrical","module",1,150.00,150.00,"https://www.phoenixcontact.com/"
"AC Distribution Terminal Blocks","Phoenix Contact UT 4 Fused & Feed-Through DIN Blocks","Finger-safe DIN-rail distribution blocks for phase, neutral, and earth routing.","electrical","power",1,25.00,25.00,"https://www.phoenixcontact.com/"
"Wall Mount Enclosure","Fibox ARCA 302515 Cabinet","IP54 ventilated polycarbonate enclosure, finger-safe, non-conductive, impact resistant","mechanical","enclosure",1,85.00,85.00,"https://www.amazon.com/s?k=Fibox+ARCA+302515"
